character,line
Dean Pelton,"It's hard to believe, but finals are here. And I know that during this stressful time, my voice blaring over a P.A. can't help. Which is why, for the next three days, you'll hear nothing but soothing sounds of nature. And to kick it off, here's a babbling brook."
Britta,"Will anyone back me up if I say this is ridiculous, or is it gonna be another Avatar situation?"
Shirley,I love Avatar.
Britta,Okay!
Annie,"Nature sounds or not, we're not gonna have any trouble passing our Spanish final. I've transcribed this semester's notes from my digital recorder."
Pierce,You record every class? Spoiler alert.
Troy,"You mean ""Nerd alert."""
Pierce,Alert nerd.
Annie,Here's a spoiler: We're all gonna spend the next three days boning up. Then pass the exam and move on to Spanish 103.
Jeff,"That sounds like a good ending, Annie, except for the part where I take Spanish 103."
Annie,What do you mean?
Jeff,Spanish 102 fills my language requirement.
Annie,I guess I just figured we're a Spanish study group so we'd keep taking Spanish together.
Shirley,That's what I thought too.
Troy,I like Spanish.
Abed,I'm in.
Jeff,"I'm on a tight, four-year schedule to replace my Bachelor's. I'm not gonna take an extra class."
Annie,Spanish has value beyond credit.
Jeff,Not really. I know the family downstairs hates me. I don't need to understand why.
Annie,"Okay, fine. You want me to say it? I'll say it. I like this group and I want it to stay together. Yeah, you be the cool guy, Jeff. And next fall when that gets lonely, I'll be in the front row of Spanish 103. Monday through Friday, 6:00 am."
Pierce,6:00...
Dean Pelton,"And now, crickets. Give me some more time in a dream. Give me the hope to run out of steam. Somebody said we could be here. We could be roped up, tied up, dead in a year. I can't count the reasons I should stay. One by one they all just fade away."
Annie,"Okay, if we're not interested in Spanish 103 next year, what about Anthropology? Ooh, Anthropology. The study of man."
Shirley,"I'm still trying to forget what I learned about that subject. Go, girl."
Abed,"You just ""Go girled"" yourself."
Shirley,Shut up.
Annie,"See, it's fun! And they have a class at noon. Noon, everybody. Anthropology? Anthropology? Anthropology? Anthropology?"
Jeff,"Annie, I'm not big on planning ahead, but I have one unmovable appointment May 23, 2013."
Troy,To buy a flying car?
Jeff,"I have a table for one at Morty's Steak House where I will celebrate becoming a lawyer again, which can only happen if I take a full load. Don't. A full load of classes every year. I can maybe make it until then. But not by building my schedule around BFFs."
Annie,We'll build ours around yours.
Britta,"Annie, you realize that we'll be friends whether or not we have a class together, right?"
Annie,"Of course you think that, Britta. It's obvious from your name that your parents smoked pot."
Pierce,"All right, well, I haven't said a single word in this entire conversation, and I find that outrageous."
Chang,"Hola, el losers."
Class,Hola.
Shirley,Hola
Chang,"Winger, may I have a word with you in private?"
Jeff,Sure.
Chang,Good.
Shirley,Sorry.
Abed,"Oh, yeah. Um, got it. Cool."
Chang,"Okay, come back in ten minutes. And if anyone asks, I sent you to learn things. And, Pierce, close the door, please. Gracias. Other side of the door. So you're here because your college degree was fake, right?"
Jeff,"I prefer the term ""better than real,"" but yes."
Chang,"Two questions. Where did you get it, could you have prevented being caught, and how?"
Jeff,One question. Where did you learn to count questions and are you telling me you need a fake degree?
Chang,"You know, in high school, I was in a band. We could've been huge, but the world wasn't ready for an Asian man on key-tar."
Jeff,"Did you say ""key-tar"" or did you just pronounce guitar like a hillbilly?"
Chang,"Key-tar. It's a keyboard you can play like a guitar. Get with the times, man. Anyway, next thing you know, I'm 32, and I'm bagging groceries for, like, 5 bucks an hour plus tips. Shocked?"
Jeff,Confused. I'm supposed to tip my bag boy?
Chang,So I did what anyone would do. I faked my way into a job as a Spanish teacher at a community college relying on phrases from Sesame Street.
Jeff,Oh my God.
Chang,"Save the judgment, Winger, all right? If the Dean finds out that I'm not a real teacher, your grades are invalid and you'll all have to repeat this class. That was the chair."
Jeff,Good. Good.
Student,It's unsolvable.
Jerry,"Hold on. I forgot my... Hey. What the hell are you doing? Hey! Hey, come back here! Come back here!"
Janitor,"Uh, Jerry, hey, Jerry, check this out."
Man,"And that is what Milton was really saying. Okay, exams are on Tuesday. Class dismissed."
Chang,"If the Dean finds out that I'm not a real teacher, your grades are invalid, and you'll all have to repeat this class. If the Dean finds out that I'm not a real teacher, your grades are invalid, and you'll all have to repeat this class. That was the chair."
Annie,Right.
Dean Pelton,"Hi, everybody. Hi. Hi. I'm afraid I have some bad news for you, kids. Well, it's actually bad news for the older people as well. Senor Chang is no longer with us."
Shirley,"Um, he's not faking his death again, is he? Because I can't handle that roller coaster. First he's alive. And then we're happy. And then he's alive again and..."
Dean Pelton,"I received an anonymous tip that Chang had misrepresented certain aspects of his qualifications, for instance, having them. Word of advice, if an Asian man says he's a Spanish teacher, it's not r*cist to ask for proof, okay? You ignore your mother's voice and get right into that horse's mouth."
Annie,"So if Chang's a fraud, what about our grades? Are they invalid?"
Dean Pelton,"Oh, no, no, no, no. That's not fair to you guys. I'm sure you've all worked very hard and learned. so just take your final with Chang's replacement. Doctor."
Dr. Escodera,Buenos dias.
Students,Buenos dias.
Dr. Escodera,Soy doctora Escodera.
Students,Si. Buenos dias.
Students,Si.
Dean Pelton,Listen to this back and forth. It's like I'm at an embassy.
Pierce,What's on the final?
Dr. Escodera,"En Espanol, por favor."
Pierce,"I know it's in Spanish, dummy. I'm just saying, you know, what chapters? All three or...?"
Dr. Escodera,Veinte.
Britta,"Oh, I know that one. She wants a large coffee."
Dr. Escodera,"Okay, in English. You will be taking a standard exam for students at your level. It will cover this entire textbook."
Jeff,El crappo.
Troy,I couldn't understand a word Dr. Escodera was saying. And why is she teaching Spanish if she's a doctor? Go cure something.
Jeff,I got to pass that exam or my entire four-year plan will be thrown off.
Abed,"That might be your car, Jeff."
Jeff,What?
Abed,"I was on my roof for the fourth of July, and the fireworks set off all the car alarms on the street. That one sounded like a brand-new Lexus."
Jeff,"Uh, my Lexus isn't brand-new."
Abed,I know. Yours is a 2002. That's the year I heard it.
Chang,Aah! Aah! Hey! You two-faced jag!
Jeff,You're wearing protective goggles to destroy my car?
Chang,Safety first!
Jeff,Stop!
Chang,I ask you for help and you turn me in?
Jeff,What? I did not. Why would I screw myself?
Chang,"What am I, Dr. Drew?"
Jeff,"Aah! I didn't do it, okay?"
Chang,Ah! Then tell me who did so I can m*rder your face!
Police,"Hey, break it up!"
Jeff,Ah.
Chang,"Oh, oh, uh, we're writing a song."
Jeff,For the battle of bands.
Chang,"Aah! Good luck passing your exam, Winger. At one point, I was teaching you Klingon!"
Jeff,Yeah? Why don't you tell that to your really weird sounding magical chair?
Chang,I have a condition!
Jeff,Oh. I'm peeing. I'm peeing. I'm peeing.
Jerry,"Impressive. I dismantled that valve and I put out that free cake. Because I wanted to see what you could do. You got a gift, kid. You know that, right?"
Trot,A gift for sinks. Big deal. I'm a student. I like learning.
Jerry,"Yeah, right. Learning. Learn everything. Learn until you're dead. Or you can call this number. Now that's a company that fixes toilets and sinks."
Troy,"Oh, man."
Jerry,"Listen to me! Toilets and sinks. Real things. Things that people always use and always need to get fixed. This is a life, kid. A real one. Doing something that matters. Something that makes sense."
