character,line
(narration),"It was my friend Abed's birthday. I had met Abed at community college almost two years earlier. His obsession with pop culture had always alienated him. He'd quote movies, pretend his life was a TV show. He watched"
Jeff,"Hey, could I get a Macallan neat?"
Abed,Jeffrey!
Jeff,Buddy. I like your sweater. Did it come with a golden retriever?
Abed,"Heh-heh-heh. You look good too. I would like a, um, spritzer if possible."
(narration),"Abed was being weird. And by that, I mean he wasn't being weird. He was hugging, smiling, making eye contact, and in 30 seconds, he hadn't made a reference to anything. I had come in worried about him, thinking he needed help. But seeing him like this made me more worried than ever."
Jeff,Get it? Like
Female waiter,"Your table is ready, gentlemen."
Abed,Thank you.
Jeff,"Actually, I had an idea. I saw a very cool burger place just a few blocks..."
Abed,"That's nonsense. I didn't come downtown for burgers. Come, come."
Jeff,I'll be right there.
(phone),"Hey, we're running a little bit late. No big deal, just a small speed bump."
Britta,"Well, hurry up. We're waiting."
The Study Group,Surprise!
Britta,"Guys, no. They're running late. Jeff says there's some kind of speed bump."
Pierce,(muffled words)
Shirley,"Pierce, nobody can hear you."
Pierce,"Well, I'm hot, and my balls are touching a zipper."
Shirley,Ugh.
Annie,Can you imagine the expression on Abed's face when he walks in?
Pierce,Of course I can imagine it. It's always the same.
Annie,"Yeah, but he's gonna say ""cool"" at least five times. It was really great of Jeff to put this together."
Troy,I'm not jealous.
Annie,Hmm?
Troy,Hmm?
Chang,"Oh, cool, someone got him a briefcase, like in the movie. What's in it?"
Britta,"Hey, don't touch that. It's from Jeff. He says nobody but Abed can open it."
Troy,Why? What's in it?
Britta,"What, I have 3D vision now?"
Annie,"Yes, you do."
Britta,You don't know me.
Annie,Ah!
Britta,Everybody just be patient and don't mess with anything. I'm responsible for this diner when my boss isn't around.
Troy,She will not stop bragging about that.
Annie,I know.
Pierce,Has anyone seen this film we're referencing? Am I the hero or love interest?
Shirley,"Oh,"
Troy,Jeff's not better than me.
Annie,Hmm?
Troy,"I said, ""Hmm."""
Jeff,"Boy, is this menu stuffy. I don't know about you, but I'd rather have a nice..."
Abed,"Rillettes de Saumon, to start, I think, and, oh, the squab."
Waiter,Very good.
Abed,They don't have quail.
Jeff,Good to know. Salad.
Waiter,Excellent choice.
Jeff,"Yeah, I nailed it. Um, you forgot this in the bar."
Abed,"Ah, so I did. I'm sorry. What a thoughtful gift, Jeff. I really was a man of singular taste."
Jeff,"Was? Abed, what's going on? Why are you dressed like Mr. Rogers and talking like Frasier? What happened to you?"
Abed,"Oh, where to begin? I probably mentioned my fondness for a program called"
Jeff,Here and there.
Abed,I even started a
Jeff,Looking for work?
Abed,"Heh. No, thanking me, Jeff. You know, for all the support I generated for the show. And in the last paragraph, they said, ""If you like, you could come visit the set."" Just like that."
Jeff,"Well, that's cool of them. I guess that kind of makes them the Pulp Fictions of people. Man, how great was that movie?"
